id,title,venue,year,authors,doi,Label,resolved_doi,openalex_id,primary_topic,primary_topic_score,topic_1,topic_1_score,topic_2,topic_2_score,topic_3,topic_3_score,keyword_1,keyword_1_score,keyword_2,keyword_2_score,keyword_3,keyword_3_score,topics_json,keywords_json,fetch_source
0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",iclp,2026,Paul Tarau,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,1,,,,,,,,,,,,,,,,,,,
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,iclp,2025,,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,1,,,,,,,,,,,,,,,,,,,
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,2,,,,,,,,,,,,,,,,,,,
3,Agentified Argumentative Learning (short paper).,iclp,2025,,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,1,,,,,,,,,,,,,,,,,,,
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,1,,,,,,,,,,,,,,,,,,,
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,2,10.5281/zenodo.17571635,https://openalex.org/W7104629331,,,,,,,,,Interpretability,0.7993999719619751,Causal model,0.5507000088691711,Causal reasoning,0.5375999808311462,[],"[{""id"": ""https://openalex.org/keywords/interpretability"", ""display_name"": ""Interpretability"", ""score"": 0.7993999719619751}, {""id"": ""https://openalex.org/keywords/causal-model"", ""display_name"": ""Causal model"", ""score"": 0.5507000088691711}, {""id"": ""https://openalex.org/keywords/causal-reasoning"", ""display_name"": ""Causal reasoning"", ""score"": 0.5375999808311462}]",openalex_title_search
6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,iclp,2025,,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,3,,,,,,,,,,,,,,,,,,,
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,3,,,,,,,,,,,,,,,,,,,
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,4,,,,,,,,,,,,,,,,,,,
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,1,,,,,,,,,,,,,,,,,,,
10,ASP Chef Creates Surveys.,iclp,2025,,https://www.semanticscholar.org/paper/d5f2cec014c85b45fea94485b6e554d34ef687d1,3,,,,,,,,,,,,,,,,,,,
11,neXSim: A System for Explaining Nexus of Similarities.,iclp,2025,,https://www.semanticscholar.org/paper/74d9f339477a40f464005794d75a93938d61fef7,4,,,,,,,,,,,,,,,,,,,
12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,iclp,2025,,https://www.semanticscholar.org/paper/b07ad7be825bbb717bfb0b8edf221ef232896e3a,4,,,,,,,,,,,,,,,,,,,
13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,iclp,2025,,https://www.semanticscholar.org/paper/16e7436d3cb4f8995a7bd882475fc183914e2409,2,,,,,,,,,,,,,,,,,,,
14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,iclp,2025,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",https://www.semanticscholar.org/paper/e3a41328c54f87564400dc2a3c529f7cb7bdd246,5,,,,,,,,,,,,,,,,,,,
15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,iclp,2025,,https://www.semanticscholar.org/paper/0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,2,,,,,,,,,,,,,,,,,,,
16,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,4,10.1609/aaai.v40i48.42143,https://openalex.org/W7138964997,Robotic Path Planning Algorithms,0.9301000237464905,Robotic Path Planning Algorithms,0.9301000237464905,AI-based Problem Solving and Planning,0.013799999840557575,Vehicle Routing Optimization Methods,0.0032999999821186066,Path (computing),0.6280999779701233,Minification,0.36980000138282776,Subject (documents),0.35839998722076416,"[{""id"": ""https://openalex.org/T10586"", ""display_name"": ""Robotic Path Planning Algorithms"", ""score"": 0.9301000237464905}, {""id"": ""https://openalex.org/T10906"", ""display_name"": ""AI-based Problem Solving and Planning"", ""score"": 0.013799999840557575}, {""id"": ""https://openalex.org/T10567"", ""display_name"": ""Vehicle Routing Optimization Methods"", ""score"": 0.0032999999821186066}]","[{""id"": ""https://openalex.org/keywords/path"", ""display_name"": ""Path (computing)"", ""score"": 0.6280999779701233}, {""id"": ""https://openalex.org/keywords/minification"", ""display_name"": ""Minification"", ""score"": 0.36980000138282776}, {""id"": ""https://openalex.org/keywords/subject"", ""display_name"": ""Subject (documents)"", ""score"": 0.35839998722076416}]",openalex_doi
17,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,iclp,2025,"Son Tran, Edjard Mota, Artur d'Avila Garcez",https://www.semanticscholar.org/paper/2423ca4c3595deb2c6a5014a5e8949e20db06714,5,,,,,,,,,,,,,,,,,,,
18,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,iclp,2025,,https://www.semanticscholar.org/paper/d56c21dd9eec50685a99172f73e1deb039278ba1,5,,,,,,,,,,,,,,,,,,,
19,Representing and Evaluating SBVR Specification via ASP.,iclp,2025,"Murali Mohanan, Imran Sarwar Bajwa",https://www.semanticscholar.org/paper/534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,4,,,,,,,,,,,,,,,,,,,
20,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,iclp,2025,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",https://www.semanticscholar.org/paper/ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,4,10.1017/s1471068423000388,https://openalex.org/W4390034201,"Logic, Reasoning, and Knowledge",0.9997000098228455,"Logic, Reasoning, and Knowledge",0.9997000098228455,Multi-Agent Systems and Negotiation,0.9955000281333923,Topic Modeling,0.9847000241279602,Computer science,0.8943659067153931,Answer set programming,0.7630761861801147,Programming language,0.6854469180107117,"[{""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""score"": 0.9997000098228455}, {""id"": ""https://openalex.org/T10456"", ""display_name"": ""Multi-Agent Systems and Negotiation"", ""score"": 0.9955000281333923}, {""id"": ""https://openalex.org/T10028"", ""display_name"": ""Topic Modeling"", ""score"": 0.9847000241279602}]","[{""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.8943659067153931}, {""id"": ""https://openalex.org/keywords/answer-set-programming"", ""display_name"": ""Answer set programming"", ""score"": 0.7630761861801147}, {""id"": ""https://openalex.org/keywords/programming-language"", ""display_name"": ""Programming language"", ""score"": 0.6854469180107117}]",openalex_title_search
21,Resource Allocation with Cooperative Agents.,iclp,2025,,https://www.semanticscholar.org/paper/42e7585a4694f6ce54ed757c72c9c12b7a8101f5,2,10.1016/j.ijpe.2004.05.015,https://openalex.org/W2044772199,Multi-Agent Systems and Negotiation,0.9994000196456909,Multi-Agent Systems and Negotiation,0.9994000196456909,Distributed Control Multi-Agent Systems,0.9943000078201294,"Logic, Reasoning, and Knowledge",0.9925000071525574,Computer science,0.7924811840057373,Resource allocation,0.7816449403762817,Distributed computing,0.6417949199676514,"[{""id"": ""https://openalex.org/T10456"", ""display_name"": ""Multi-Agent Systems and Negotiation"", ""score"": 0.9994000196456909}, {""id"": ""https://openalex.org/T10249"", ""display_name"": ""Distributed Control Multi-Agent Systems"", ""score"": 0.9943000078201294}, {""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""score"": 0.9925000071525574}]","[{""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.7924811840057373}, {""id"": ""https://openalex.org/keywords/resource-allocation"", ""display_name"": ""Resource allocation"", ""score"": 0.7816449403762817}, {""id"": ""https://openalex.org/keywords/distributed-computing"", ""display_name"": ""Distributed computing"", ""score"": 0.6417949199676514}]",openalex_title_search
22,Enhancing Compilation-based ASP Solving.,iclp,2025,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/0ebf0121a6ce46e479d81d9a509af5f152dc15ed,5,,,,,,,,,,,,,,,,,,,
23,Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,iclp,2025,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/1f548ee1a3d356f3eafc547f99a0c6ea12067edf,5,,,,,,,,,,,,,,,,,,,
24,Toward Executing Datalog on Big Data Platforms - Extended Abstract.,iclp,2025,Bernard LANG,https://www.semanticscholar.org/paper/d317147d8b63b0cbb05e672d788f730f8b173017,3,,,,,,,,,,,,,,,,,,,
25,PEG 2.0: Future-Gazing Through a Socio-Linguistic and Historical Lens.,iclp,2025,,https://www.semanticscholar.org/paper/5ff8a5ac6bf5a1dff86ec2de72e57b60790baaf9,2,,,,,,,,,,,,,,,,,,,
26,Learning ASP Domain-specific Heuristics using Transformers.,iclp,2025,Marcello Balduccini,https://www.semanticscholar.org/paper/9240091bc0d23f9411e52ee6fbbe8138d750427e,5,,,,,,,,,,,,,,,,,,,
27,Search-Guided Generation of Properties for Program Analyzers.,iclp,2025,Yixuan Liang,https://www.semanticscholar.org/paper/fb2ffaeff737324b34600fe9b270d717528e86c5,4,,,,,,,,,,,,,,,,,,,
28,Knowledge-Based Stable Roommates Problems.,iclp,2025,Müge Fidan,10.1609/aaai.v40i48.42148,4,10.1609/aaai.v40i48.42148,https://openalex.org/W7138851587,Constraint Satisfaction and Optimization,0.6157000064849854,Constraint Satisfaction and Optimization,0.6157000064849854,Optimization and Search Problems,0.05380000174045563,Scheduling and Timetabling Solutions,0.03909999877214432,Focus (optics),0.6414999961853027,Stable marriage problem,0.5751000046730042,Stability (learning theory),0.4052000045776367,"[{""id"": ""https://openalex.org/T11596"", ""display_name"": ""Constraint Satisfaction and Optimization"", ""score"": 0.6157000064849854}, {""id"": ""https://openalex.org/T12288"", ""display_name"": ""Optimization and Search Problems"", ""score"": 0.05380000174045563}, {""id"": ""https://openalex.org/T12401"", ""display_name"": ""Scheduling and Timetabling Solutions"", ""score"": 0.03909999877214432}]","[{""id"": ""https://openalex.org/keywords/focus"", ""display_name"": ""Focus (optics)"", ""score"": 0.6414999961853027}, {""id"": ""https://openalex.org/keywords/stable-marriage-problem"", ""display_name"": ""Stable marriage problem"", ""score"": 0.5751000046730042}, {""id"": ""https://openalex.org/keywords/stability"", ""display_name"": ""Stability (learning theory)"", ""score"": 0.4052000045776367}]",openalex_doi
29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,iclp,2025,Xing Xu,https://www.semanticscholar.org/paper/615536c864f8fc6c74d7a4553c900cd9f03ba1fc,4,,,,,,,,,,,,,,,,,,,
30,Exploring Digital Twins integration with ASP and ASP Chef.,iclp,2025,Fiona Rossette-Crake,https://www.semanticscholar.org/paper/d3d2b967bf74c83e5d3ce6b9f8045a28146d851f,4,,,,,,,,,,,,,,,,,,,
31,Formal Verification of Answer Set Programs Containing Advanced Language Constructs.,iclp,2025,Rolf Schwitter,https://www.semanticscholar.org/paper/ed808e544b428cfad3e1fefd18d3ae36aa6e020b,5,,,,,,,,,,,,,,,,,,,
32,The Simple Generative Logic Grammar: A Tool for Teaching Logical Thinking Through Visual Research in Art and Design.,iclp,2025,Susanna Berger,https://www.semanticscholar.org/paper/02c72256e884173e4b85f9878b8e30e4c342e82a,5,,,,,,,,,,,,,,,,,,,
33,Answer Set Counting and its Applications to Network Reliability and System Biology.,iclp,2025,Mohimenul Kabir,10.4204/eptcs.416.34,4,10.4204/eptcs.416.34,https://openalex.org/W4407349678,Bayesian Modeling and Causal Inference,0.9796000123023987,Bayesian Modeling and Causal Inference,0.9796000123023987,Network Security and Intrusion Detection,0.9534000158309937,Data Stream Mining Techniques,0.9503999948501587,Set (abstract data type),0.6161437630653381,Computer science,0.5273733139038086,Programming language,0.22524282336235046,"[{""id"": ""https://openalex.org/T11303"", ""display_name"": ""Bayesian Modeling and Causal Inference"", ""score"": 0.9796000123023987}, {""id"": ""https://openalex.org/T10400"", ""display_name"": ""Network Security and Intrusion Detection"", ""score"": 0.9534000158309937}, {""id"": ""https://openalex.org/T12761"", ""display_name"": ""Data Stream Mining Techniques"", ""score"": 0.9503999948501587}]","[{""id"": ""https://openalex.org/keywords/set"", ""display_name"": ""Set (abstract data type)"", ""score"": 0.6161437630653381}, {""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.5273733139038086}, {""id"": ""https://openalex.org/keywords/programming-language"", ""display_name"": ""Programming language"", ""score"": 0.22524282336235046}]",openalex_doi
34,Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,iclp,2025,Georg Gottlob,https://www.semanticscholar.org/paper/c51090b4b8bcdaf424b9d0f82942f53f899c4103,3,,,,,,,,,,,,,,,,,,,
35,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,iclp,2025,"Dorra Zaibi, Meriem Riahi, Faouzi Moussa",https://www.semanticscholar.org/paper/0d275e0df22d539e5afe2267bcc2aa76584a07f4,3,,,,,,,,,,,,,,,,,,,
36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,iclp,2025,"N. Mansurov, D. Zhukov",https://www.semanticscholar.org/paper/7aa66cf8977d670bbcf5f9d9b0c40decbac738da,3,,,,,,,,,,,,,,,,,,,
37,Decompiling Language Models into Logic Programs.,iclp,2025,,https://www.semanticscholar.org/paper/21ab1f4452fa0e306fb9ddc37ce48f061cbd864f,4,,,,,,,,,,,,,,,,,,,
38,Logic and Answer Set Programming in High School: Two Learning Unit Experiences.,iclp,2025,Fabrizio Riguzzi,https://www.semanticscholar.org/paper/c34e38518a4e7c777277dc81b971ef6ddb1e5340,5,,,,,,,,,,,,,,,,,,,
39,Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,iclp,2025,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",https://www.semanticscholar.org/paper/d149c7135a9db55da33142c52cd72b7d1190149d,5,,,,,,,,,,,,,,,,,,,
40,Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,iclp,2025,"Maria Daskolia, Jaume Piera, Karen Soacha",https://www.semanticscholar.org/paper/920945f8a7bddc5ece232eed1a1ff243b66913b5,3,,,,,,,,,,,,,,,,,,,
41,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications - Abstract.,iclp,2025,"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",10.1109/icra57147.2024.10610800,5,10.1109/icra57147.2024.10610800,https://openalex.org/W4401416695,AI-based Problem Solving and Planning,0.9995999932289124,AI-based Problem Solving and Planning,0.9995999932289124,"Logic, Reasoning, and Knowledge",0.9876000285148621,Semantic Web and Ontologies,0.9872000217437744,Prolog,0.9159144163131714,Computer science,0.7426339387893677,Generative grammar,0.6792322993278503,"[{""id"": ""https://openalex.org/T10906"", ""display_name"": ""AI-based Problem Solving and Planning"", ""score"": 0.9995999932289124}, {""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""score"": 0.9876000285148621}, {""id"": ""https://openalex.org/T10215"", ""display_name"": ""Semantic Web and Ontologies"", ""score"": 0.9872000217437744}]","[{""id"": ""https://openalex.org/keywords/prolog"", ""display_name"": ""Prolog"", ""score"": 0.9159144163131714}, {""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.7426339387893677}, {""id"": ""https://openalex.org/keywords/generative-grammar"", ""display_name"": ""Generative grammar"", ""score"": 0.6792322993278503}]",openalex_doi
