id,title,venue,year,authors,doi,Label,resolved_doi,openalex_id,semantic_scholar_id,primary_topic,primary_topic_score,topic_1,topic_1_score,topic_2,topic_2_score,topic_3,topic_3_score,keyword_1,keyword_1_score,keyword_2,keyword_2_score,keyword_3,keyword_3_score,topics_json,keywords_json,fetch_source
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,iclp,2025,,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,1,,,8328d53dae0b05fd09b0d1f2326bda354ee250b7,Computer Science,1.0,Computer Science,1.0,,,,,conditional,1.0,logic,1.0,temporal,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""conditional"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""logic"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""temporal"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,2,,,1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,Computer Science,1.0,Computer Science,1.0,Philosophy,0.85,,,aba,1.0,frameworks,1.0,learning,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Philosophy"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""aba"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""frameworks"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""learning"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
3,Agentified Argumentative Learning (short paper).,iclp,2025,,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,1,,,666f0fa6242f59f0efad52bf4fca6e57dec3df21,Computer Science,1.0,Computer Science,1.0,,,,,agentified,1.0,argumentative,1.0,learning,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""agentified"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""argumentative"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""learning"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,1,,,08195948156fdb7d400d37e1cd8af51fbcd2918b,Computer Science,1.0,Computer Science,1.0,,,,,direction,1.0,future,1.0,project,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""direction"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""future"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""project"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,2,10.5281/zenodo.17571635,https://openalex.org/W7104629331,650254488e053873c1d94fbf2e1c9fb0442a202b,,,,,,,,,Interpretability,0.7993999719619751,Causal model,0.5507000088691711,Causal reasoning,0.5375999808311462,[],"[{""id"": ""https://openalex.org/keywords/interpretability"", ""display_name"": ""Interpretability"", ""score"": 0.7993999719619751}, {""id"": ""https://openalex.org/keywords/causal-model"", ""display_name"": ""Causal model"", ""score"": 0.5507000088691711}, {""id"": ""https://openalex.org/keywords/causal-reasoning"", ""display_name"": ""Causal reasoning"", ""score"": 0.5375999808311462}]",openalex_title_search
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,3,,,450304e6da31299973eefb780ea12ee91305da4c,Computer Science,1.0,Computer Science,1.0,Mathematics,0.85,,,temporal,1.0,conditional,0.75,logic,0.75,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Mathematics"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""temporal"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""conditional"", ""score"": 0.75, ""source"": ""s2_text""}, {""display_name"": ""logic"", ""score"": 0.75, ""source"": ""s2_text""}]",semantic_scholar
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,4,,,7d8de01e15f2da146f1633cbca841525f518dfa2,Computer Science,1.0,Computer Science,1.0,,,,,asp,1.0,code,0.5,new,0.5,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""asp"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""code"", ""score"": 0.5, ""source"": ""s2_text""}, {""display_name"": ""new"", ""score"": 0.5, ""source"": ""s2_text""}]",semantic_scholar
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,1,,,e1ee65ae926531b70297e837445bb5e10a048588,Computer Science,1.0,Computer Science,1.0,,,,,across,1.0,assistants,1.0,asvin,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""across"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""assistants"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""asvin"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
11,neXSim: A System for Explaining Nexus of Similarities.,iclp,2025,,https://www.semanticscholar.org/paper/74d9f339477a40f464005794d75a93938d61fef7,4,,,74d9f339477a40f464005794d75a93938d61fef7,Computer Science,1.0,Computer Science,1.0,,,,,explaining,1.0,nexsim,1.0,nexus,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""explaining"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""nexsim"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""nexus"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,iclp,2025,,https://www.semanticscholar.org/paper/b07ad7be825bbb717bfb0b8edf221ef232896e3a,4,,,b07ad7be825bbb717bfb0b8edf221ef232896e3a,Computer Science,1.0,Computer Science,1.0,Engineering,0.85,,,games,1.0,iterative,1.0,mobile,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Engineering"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""games"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""iterative"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""mobile"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
