id,title,venue,year,authors,doi,Label,resolved_doi,openalex_id,semantic_scholar_id,primary_topic,primary_topic_score,topic_1,topic_1_score,topic_2,topic_2_score,topic_3,topic_3_score,keyword_1,keyword_1_score,keyword_2,keyword_2_score,keyword_3,keyword_3_score,topics_json,keywords_json,fetch_source
0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",iclp,2026,Paul Tarau,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,1,10.48550/arxiv.2601.00047,https://openalex.org/W7119182182,f7391104e89d3ae6456960c316a2758d5850e6b0,"Logic, Reasoning, and Knowledge",0.7670000195503235,"Logic, Reasoning, and Knowledge",0.7670000195503235,Advanced Algebra and Logic,0.03440000116825104,Machine Learning and Algorithms,0.03200000151991844,Logic programming,0.6032999753952026,Event (particle physics),0.557200014591217,Volume (thermodynamics),0.38670000433921814,"[{""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""score"": 0.7670000195503235}, {""id"": ""https://openalex.org/T11727"", ""display_name"": ""Advanced Algebra and Logic"", ""score"": 0.03440000116825104}, {""id"": ""https://openalex.org/T12072"", ""display_name"": ""Machine Learning and Algorithms"", ""score"": 0.03200000151991844}]","[{""id"": ""https://openalex.org/keywords/logic-programming"", ""display_name"": ""Logic programming"", ""score"": 0.6032999753952026}, {""id"": ""https://openalex.org/keywords/event"", ""display_name"": ""Event (particle physics)"", ""score"": 0.557200014591217}, {""id"": ""https://openalex.org/keywords/volume"", ""display_name"": ""Volume (thermodynamics)"", ""score"": 0.38670000433921814}]",openalex_s2_doi
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,iclp,2025,,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,1,,,8328d53dae0b05fd09b0d1f2326bda354ee250b7,Computer Science,1.0,Computer Science,1.0,,,,,conditional,1.0,logic,1.0,temporal,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""conditional"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""logic"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""temporal"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,2,,,1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,Computer Science,1.0,Computer Science,1.0,Philosophy,0.85,,,aba,1.0,frameworks,1.0,learning,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Philosophy"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""aba"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""frameworks"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""learning"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
3,Agentified Argumentative Learning (short paper).,iclp,2025,,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,1,,,666f0fa6242f59f0efad52bf4fca6e57dec3df21,Computer Science,1.0,Computer Science,1.0,,,,,agentified,1.0,argumentative,1.0,learning,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""agentified"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""argumentative"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""learning"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,1,,,08195948156fdb7d400d37e1cd8af51fbcd2918b,Computer Science,1.0,Computer Science,1.0,,,,,direction,1.0,future,1.0,project,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""direction"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""future"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""project"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,2,,,650254488e053873c1d94fbf2e1c9fb0442a202b,Computer Science,1.0,Computer Science,1.0,,,,,causal,1.0,algorithm,0.25,algorithms,0.25,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""causal"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""algorithm"", ""score"": 0.25, ""source"": ""s2_text""}, {""display_name"": ""algorithms"", ""score"": 0.25, ""source"": ""s2_text""}]",semantic_scholar
6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,iclp,2025,,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,3,,,e0033a1ff429de2549c3758e1c5bf8591ecd9c53,Computer Science,1.0,Computer Science,1.0,Education,0.85,,,playground,1.0,prolog,0.75,able,0.5,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Education"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""playground"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""prolog"", ""score"": 0.75, ""source"": ""s2_text""}, {""display_name"": ""able"", ""score"": 0.5, ""source"": ""s2_text""}]",semantic_scholar
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,3,,,450304e6da31299973eefb780ea12ee91305da4c,Computer Science,1.0,Computer Science,1.0,Mathematics,0.85,,,temporal,1.0,conditional,0.75,logic,0.75,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}, {""display_name"": ""Mathematics"", ""score"": 0.85, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""temporal"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""conditional"", ""score"": 0.75, ""source"": ""s2_text""}, {""display_name"": ""logic"", ""score"": 0.75, ""source"": ""s2_text""}]",semantic_scholar
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,4,,,7d8de01e15f2da146f1633cbca841525f518dfa2,Computer Science,1.0,Computer Science,1.0,,,,,asp,1.0,code,0.5,new,0.5,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""asp"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""code"", ""score"": 0.5, ""source"": ""s2_text""}, {""display_name"": ""new"", ""score"": 0.5, ""source"": ""s2_text""}]",semantic_scholar
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,1,,,e1ee65ae926531b70297e837445bb5e10a048588,Computer Science,1.0,Computer Science,1.0,,,,,across,1.0,assistants,1.0,asvin,1.0,"[{""display_name"": ""Computer Science"", ""score"": 1.0, ""source"": ""s2FieldsOfStudy""}]","[{""display_name"": ""across"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""assistants"", ""score"": 1.0, ""source"": ""s2_text""}, {""display_name"": ""asvin"", ""score"": 1.0, ""source"": ""s2_text""}]",semantic_scholar
